game,model,anchor,wording,raw_spike,base_p,net_pull,coverage,footnote_unresolved
CRD,Llama_3.3_70B_Instruct,4,V2,0.9999990463261548,1.0,-9.536738452275983e-07,1.0000000058294645,False
CRD,Llama_3.3_70B_Instruct,4,V3,1.0,1.0,0.0,1.000000029869957,False
CRD,Qwen3_235B_A22B_Instruct,0,V0_true,0.5290878502384551,0.014687178559621253,0.5144006716788339,0.9998473281970176,False
CRD,Qwen3_235B_A22B_Instruct,0,V1,0.3655778119434965,0.014687178559621253,0.3508906333838752,0.9999225570596796,False
CRD,Qwen3_235B_A22B_Instruct,0,V2,0.0194478426908504,0.014687178559621253,0.004760664131229149,0.9999664600748724,False
CRD,Qwen3_235B_A22B_Instruct,0,V3,0.8436168558526848,0.014687178559621253,0.8289296772930635,0.9999320919176544,False
CRD,Qwen3_235B_A22B_Instruct,2,V0_true,0.9164898787236128,0.157902050360746,0.7585878283628668,0.9998868745541156,False
CRD,Qwen3_235B_A22B_Instruct,2,V1,0.9729850362107372,0.157902050360746,0.8150829858499912,0.9999616183394054,False
CRD,Qwen3_235B_A22B_Instruct,2,V2,0.4208856925755475,0.157902050360746,0.26298364221480147,0.9998669436796764,False
CRD,Qwen3_235B_A22B_Instruct,2,V3,0.9966107235393468,0.157902050360746,0.8387086731786008,0.9999846370686006,False
CRD,Qwen3_235B_A22B_Instruct,4,V0_true,0.9907969338536998,0.8273476001306945,0.1634493337230053,0.9999346929666458,False
CRD,Qwen3_235B_A22B_Instruct,4,V1,0.9987331009926844,0.8273476001306945,0.1713855008619899,0.9999694635836622,False
CRD,Qwen3_235B_A22B_Instruct,4,V2,0.8930385939669602,0.8273476001306945,0.06569099383626564,0.9997784336208696,False
CRD,Qwen3_235B_A22B_Instruct,4,V3,0.9998154980680914,0.8273476001306945,0.17246789793739692,0.9999913404857494,False
