1,2,3,4,5,6,svo,role,count
3,6,8,5,0,8,28.767649338843803,B,1
3,7,8,4,0,8,32.36093755936989,A,1
3,7,8,5,0,8,29.59489268795477,B,1
3,8,5,3,0,7,37.450578231736735,B,1
3,8,8,0,0,8,43.09084756700362,A,1
3,8,8,0,0,8,43.09084756700362,B,1
3,8,8,3,0,8,35.51043301061695,A,1
3,8,8,3,0,8,35.51043301061695,B,1
3,8,8,4,0,3,27.313274418297,B,1
3,6,0,2,3,4,35.272421448598394,B,1
3,8,8,4,0,5,29.538782259558097,B,1
0,0,8,8,0,0,0.0,A,1
3,8,8,4,0,8,32.9052429229879,B,1
3,8,8,4,1,6,28.72613066530436,A,1
3,8,8,5,0,7,29.124053494777428,A,1
3,8,8,5,0,8,30.18788107358616,B,1
3,8,8,7,0,6,22.380135051959584,A,1
3,8,8,8,0,0,12.888185125765704,A,1
4,0,0,5,4,8,25.346175941946697,B,1
3,6,6,1,3,2,29.41559883309556,B,1
3,4,6,7,2,0,9.20404095446832,A,1
2,5,1,6,0,5,25.828957465520304,B,1
2,8,8,4,4,5,19.77082227833708,A,1
2,7,8,8,0,1,11.35602721830978,A,1
2,8,5,6,0,5,24.586329516336193,A,1
2,8,5,7,2,2,14.400021306791052,B,1
2,8,5,8,2,1,10.194236993214137,A,1
2,8,8,0,0,8,41.03847311748978,B,1
2,8,8,4,0,3,25.301378625419712,B,1
2,8,8,4,0,4,26.460305810198776,A,1
2,8,8,4,0,5,27.507675474889577,A,1
2,8,8,4,0,8,30.84380741314481,B,1
2,8,8,5,0,3,22.547177667640472,A,1
3,0,8,4,4,0,7.539445139509308,B,1
2,8,8,5,0,8,28.141601232261728,B,1
