extraction1,extraction2,extraction3,extraction4,extraction5,extraction6,extraction7,extraction8,extraction9,extraction10,Treatment,count
11,9,17,18,13,13,12,16,15,20,Pro-social,1
10,30,25,30,30,26,30,30,30,25,Self-serving,1
10,30,15,20,15,15,15,17,15,19,Self-serving,1
10,20,23,10,25,15,20,20,20,18,Self-serving,1
10,20,20,20,20,20,20,20,15,15,Control,1
10,20,2,15,8,5,9,12,6,10,Control,1
10,18,16,23,11,12,17,14,25,11,Self-serving,1
10,10,11,22,20,15,10,15,15,30,Self-serving,1
10,10,10,10,12,12,12,12,12,13,Self-serving,1
10,10,10,10,10,30,10,10,30,10,Pro-social,1
5,5,11,6,5,5,5,22,17,15,Control,1
6,10,15,15,15,15,15,15,15,15,Control,1
5,20,5,30,20,15,30,20,15,30,Control,1
5,15,20,19,30,10,25,17,10,30,Pro-social,1
5,15,15,5,15,30,15,15,15,15,Control,1
5,13,15,15,30,20,19,25,15,25,Pro-social,1
5,10,20,8,12,30,4,25,2,10,Control,1
5,10,20,6,10,10,10,20,26,10,Self-serving,1
5,10,11,11,15,12,15,10,25,5,Pro-social,1
5,7,13,5,11,8,5,5,5,5,Pro-social,1
5,7,10,12,12,12,15,12,20,20,Control,1
5,5,10,11,11,13,13,14,14,15,Pro-social,1
10,10,10,10,10,10,10,10,10,10,Self-serving,1
5,5,7,2,1,15,15,5,5,1,Pro-social,1
5,5,5,7,3,10,10,10,10,7,Control,1
5,5,4,30,5,5,5,30,10,10,Pro-social,1
4,23,28,15,9,9,30,22,14,5,Control,1
4,9,14,30,30,30,5,18,15,1,Control,1
3,30,15,16,15,11,12,12,15,12,Self-serving,1
3,5,7,9,10,10,9,10,20,30,Pro-social,1
2,17,13,7,20,21,20,11,18,11,Pro-social,1
2,9,7,15,2,9,22,27,22,2,Control,1
1,17,4,5,20,10,15,14,14,28,Pro-social,1
6,29,15,20,10,6,9,12,25,25,Control,1
7,12,8,13,10,13,30,30,15,24,Self-serving,1
7,13,25,5,8,7,8,7,26,24,Control,1
7,15,7,20,18,10,25,9,11,10,Pro-social,1
10,8,17,9,21,17,19,15,22,13,Control,1
10,8,10,10,8,5,10,10,30,15,Control,1
10,8,8,13,6,8,10,9,17,9,Pro-social,1
10,7,19,16,30,27,25,28,27,27,Control,1
10,7,14,10,9,15,15,15,10,15,Self-serving,1
10,7,10,12,14,10,15,15,12,15,Control,1
10,6,9,10,13,15,17,14,25,11,Pro-social,1
10,5,20,1,15,10,15,20,25,30,Control,1
10,5,11,20,18,10,15,14,18,15,Pro-social,1
9,19,11,10,14,16,17,13,19,15,Pro-social,1
9,16,15,13,15,15,15,15,15,15,Control,1
9,15,18,20,20,15,26,17,18,18,Pro-social,1
8,16,23,7,30,22,10,10,10,10,Self-serving,1
8,15,8,5,8,25,8,15,15,15,Pro-social,1
8,14,30,10,9,7,16,15,15,10,Pro-social,1
8,12,20,11,11,13,16,16,18,14,Pro-social,1
8,11,9,15,13,14,15,13,11,12,Pro-social,1
8,10,15,12,8,9,10,7,10,12,Control,1
8,10,11,13,13,10,12,12,14,14,Pro-social,1
8,5,5,15,1,2,2,2,2,2,Control,1
7,23,4,5,6,7,8,8,7,7,Self-serving,1
11,11,15,15,22,16,14,12,18,14,Pro-social,1
11,11,19,16,17,24,25,16,18,14,Pro-social,1
15,15,15,10,10,5,15,15,15,15,Pro-social,1
13,15,14,11,13,14,19,11,15,14,Pro-social,1
14,20,11,28,30,26,28,11,11,9,Self-serving,1
